node,time_s,k,bracket_s
89,14.800288369560871,1.5964211751281707,"[14.789999999999983, 14.809999999999983]"
90,14.800288299493314,1.5963935186724254,"[14.789999999999983, 14.809999999999983]"
91,14.800288231200373,1.596366193081337,"[14.789999999999983, 14.809999999999983]"
92,14.800288164652242,1.5963391924473442,"[14.789999999999983, 14.809999999999983]"
93,14.800288097577491,1.5963125110027727,"[14.789999999999983, 14.809999999999983]"
94,14.800288033356477,1.5962861431157587,"[14.789999999999983, 14.809999999999983]"
95,14.800287970048059,1.5962600832862168,"[14.789999999999983, 14.809999999999983]"
96,14.800287905979552,1.5962343261420608,"[14.789999999999983, 14.809999999999983]"
97,14.800287845613397,1.596208866435463,"[14.789999999999983, 14.809999999999983]"
98,14.800287784765109,1.5961836990393008,"[14.789999999999983, 14.809999999999983]"
99,14.800287724846198,1.596158818943692,"[14.789999999999983, 14.809999999999983]"
100,14.800287666432295,1.5961342212526504,"[14.789999999999983, 14.809999999999983]"
101,14.800287608900907,1.5961099011809121,"[14.789999999999983, 14.809999999999983]"
102,14.80028755225991,1.5960858540507623,"[14.789999999999983, 14.809999999999983]"
103,14.800287496067774,1.5960620752890615,"[14.789999999999983, 14.809999999999983]"
104,14.800287441382038,1.5960385604243454,"[14.789999999999983, 14.809999999999983]"
105,14.800287388302218,1.5960153050839907,"[14.789999999999983, 14.809999999999983]"
106,14.800287335729335,1.5959923049915052,"[14.789999999999983, 14.809999999999983]"
107,14.800287284003767,1.5959695559639098,"[14.789999999999983, 14.809999999999983]"
108,14.800287232236187,1.595947053909185,"[14.789999999999983, 14.809999999999983]"
109,14.800287182627823,1.5959247948238076,"[14.789999999999983, 14.809999999999983]"
110,14.800287131951038,1.5959027747903785,"[14.789999999999983, 14.809999999999983]"
111,14.800287084508536,1.5958809899753124,"[14.789999999999983, 14.809999999999983]"
112,14.800287035812413,1.5958594366266161,"[14.789999999999983, 14.809999999999983]"
113,14.800286988366738,1.5958381110717133,"[14.789999999999983, 14.809999999999983]"
114,14.800286941675127,1.5958170097153679,"[14.789999999999983, 14.809999999999983]"
115,14.800286895601904,1.5957961290376395,"[14.789999999999983, 14.809999999999983]"
116,14.800286850642111,1.5957754655919492,"[14.789999999999983, 14.809999999999983]"
117,14.800286806751007,1.595755016003155,"[14.789999999999983, 14.809999999999983]"
118,14.800286762532213,1.5957347769657066,"[14.789999999999983, 14.809999999999983]"
119,14.800286719503502,1.5957147452418894,"[14.789999999999983, 14.809999999999983]"
120,14.800286676389298,1.5956949176600561,"[14.789999999999983, 14.809999999999983]"
