time_s,global_margin_m,collision_flag,candidate_pairs,tested_pairs,circle_rejected_pairs
175.5,1.527981404927e-01,0,,1111,23420
176.0,1.545073144315e-01,0,,1117,23414
176.5,1.564291619777e-01,0,,1115,23416
177.0,1.585647213441e-01,0,,1113,23418
177.5,1.609150307339e-01,0,,1121,23410
178.0,1.634811282564e-01,0,,1122,23409
178.5,1.662640518352e-01,0,,1111,23420
179.0,1.680644063169e-01,0,,1119,23412
179.5,1.680893093060e-01,0,,1121,23410
180.0,1.679458134170e-01,0,,1116,23415
180.5,1.680050690021e-01,0,,1114,23417
181.0,1.662143489509e-01,0,,1120,23411
181.5,1.631772495654e-01,0,,1115,23416
182.0,1.603500747460e-01,0,,1115,23416
182.5,1.577340393929e-01,0,,1122,23409
183.0,1.553303604444e-01,0,,1120,23411
183.5,1.531402567987e-01,0,,1115,23416
184.0,1.511649492437e-01,0,,1118,23413
184.5,1.494056603765e-01,0,,1118,23413
185.0,1.478636145235e-01,0,,1113,23418
185.5,1.465400376560e-01,0,,1113,23418
186.0,1.454361573108e-01,0,,1123,23408
186.5,1.445532025011e-01,0,,1115,23416
187.0,1.438924036292e-01,0,,1112,23419
187.5,1.434549923983e-01,0,,1123,23408
188.0,1.432422017185e-01,0,,1123,23408
188.5,1.432552656143e-01,0,,1117,23414
189.0,1.434954191281e-01,0,,1123,23408
189.5,1.439638982220e-01,0,,1121,23410
190.0,1.446300758335e-01,0,,1116,23415
190.5,1.438614789987e-01,0,,1120,23411
191.0,1.433170608152e-01,0,,1126,23405
191.5,1.429980657801e-01,0,,1117,23414
192.0,1.429057395653e-01,0,,1117,23414
192.5,1.430413289227e-01,0,,1127,23404
193.0,1.434060815842e-01,0,,1125,23406
193.5,1.440012461620e-01,0,,1120,23411
194.0,1.448280720437e-01,0,,1125,23406
194.5,1.458878092885e-01,0,,1126,23405
195.0,1.471817085166e-01,0,,1118,23413
195.5,1.487110208028e-01,0,,1124,23407
196.0,1.504769975614e-01,0,,1128,23403
196.5,1.524808904299e-01,0,,1120,23411
197.0,1.547239511547e-01,0,,1122,23409
197.5,1.572074314668e-01,0,,1131,23400
198.0,1.599325829618e-01,0,,1133,23398
198.5,1.629006569777e-01,0,,1125,23406
199.0,1.649425560418e-01,0,,1136,23395
199.5,1.651618991007e-01,0,,1135,23396
200.0,1.649991812523e-01,0,,1123,23408
200.5,1.649208587388e-01,0,,1133,23398
201.0,1.621254202522e-01,0,,1137,23394
201.5,1.589211712450e-01,0,,1127,23404
202.0,1.559525091397e-01,0,,1130,23401
202.5,1.532209086365e-01,0,,1138,23393
203.0,1.507278471267e-01,0,,1133,23398
203.5,1.484748045820e-01,0,,1129,23402
204.0,1.464632634512e-01,0,,1138,23393
204.5,1.446947085471e-01,0,,1136,23395
205.0,1.431706269314e-01,0,,1122,23409
205.5,1.418925078008e-01,0,,1133,23398
206.0,1.408618423643e-01,0,,1132,23399
206.5,1.400801237225e-01,0,,1125,23406
207.0,1.395488467413e-01,0,,1128,23403
207.5,1.392695079221e-01,0,,1139,23392
208.0,1.392436052720e-01,0,,1132,23399
208.5,1.394726381651e-01,0,,1130,23401
209.0,1.399581072064e-01,0,,1138,23393
209.5,1.407015140896e-01,0,,1137,23394
210.0,1.399947607820e-01,0,,1124,23407
210.5,1.393704039136e-01,0,,1133,23398
211.0,1.389990403864e-01,0,,1132,23399
211.5,1.388821828377e-01,0,,1123,23408
212.0,1.390213453431e-01,0,,1131,23400
212.5,1.394180432806e-01,0,,1140,23391
